Asset,-------(1)-------,-------(3)-------,Sub-number,Depreciation key,Plant,Capitalized On,Ord.dep.start date,Cost Center,Description,Life,Location,  Cum.acq.value,Spec.depreciation,Vendor,     Accum.dep.,Quantity,WBS Element, Start book.val,Base Unit of Measure,-------(4)-------,Currency,-------(2)-------,Write-ups,  Trans.acq.val,    Trns.AccDep,       PlndDep,   End book val
340000001,,,0,TH02,,09/05/2017,09/05/2017,10020055,K00025-อุปกรณ์อินเตอร์เน็ต-D Link-dgs-1100-24p,003/000,,3000,,,-2999,1,,1,EA,,THB,,0,0,0,0,1
340000002,,,0,TH02,,09/06/2017,09/06/2017,10020055,K00025-อุปกรณ์อินเตอร์เน็ต-D Link-dgs-1100-24p,003/000,,13350,,,-13349,1,,1,EA,,THB,,0,0,0,0,1
340000003,,,0,TH02,,09/06/2017,09/06/2017,10020025,K00025-อุปกรณ์อินเตอร์เน็ต-D Link-dgs-1100-24p,003/000,,3470,,,-3469,1,,1,EA,,THB,,0,0,0,0,1
340000004,,,0,TH02,,09/06/2017,09/06/2017,10020053,K00016-เครื่องกระจายสัญญาณอินเตอร์เน็ต-Ubiquiti-AC,003/000,,6170,,,-6169,1,,1,EA,,THB,,0,0,0,0,1
340000005,,,0,TH02,,09/06/2017,09/06/2017,10020055,K00016-เครื่องกระจายสัญญาณอินเตอร์เน็ต-Ubiquiti-AC,003/000,,6170,,,-6169,1,,1,EA,,THB,,0,0,0,0,1
340000006,,,0,TH02,,09/08/2017,09/08/2017,10020000,O00002-หน่วยความจำหลัก(RAM)-Kingston-Hyper-X,003/000,,2530,,,-2529,1,,1,EA,,THB,,0,0,0,0,1
340000007,,,0,TH02,,09/08/2017,09/08/2017,10050010,G00009-เครื่องปริ้นเตอร์-Fuji-LaserXEROX,003/000,,12990,,,-12989,1,,1,EA,,THB,,0,0,0,0,1
340000008,,,0,TH02,,09/20/2017,09/20/2017,10020000,O00003-หน่วยความจำสำรอง(SSD)-Samsung-850 EVO 250GB,003/000,,3350,,,-3349,1,,1,EA,,THB,,0,0,0,0,1
340000009,,,0,TH02,,09/20/2017,09/20/2017,10020000,O00003-หน่วยความจำสำรอง(SSD)-Samsung-850 EVO 250GB,003/000,,3350,,,-3349,1,,1,EA,,THB,,0,0,0,0,1
